INSERT INTO dbo.FactSalesOrder
VALUES
(3231,20211214,783,550,10,22950.00),
(3232,20211214,963,29541,6,4454.00),
(3233,20211214,842,29567,5,625.00),
(3234,20211214,735,147,2,1190.00),
(3235,20211214,741,280,10,13645.00),
(3236,20211214,842,97,1,125.00),
(3237,20211214,855,166,7,630.00),
(3238,20211215,882,564,6,324.00),
(3239,20211215,813,29546,7,842.00),
(3240,20211215,816,29573,4,836.00),
(3241,20211215,791,94,10,24434.00),
(3242,20211216,898,4,8,2667.00),
(3243,20211216,821,29485,10,2180.00),
(3244,20211216,949,7,10,1755.00),
(3245,20211216,858,29738,2,49.00),
(3246,20211216,861,29755,6,228.00),
(3247,20211216,979,365,8,5939.00),
(3248,20211216,821,533,6,1308.00),
(3249,20211216,793,346,8,19547.00),
(3250,20211216,783,448,3,6885.00),
(3251,20211216,941,29757,2,162.00),
(3252,20211217,714,29998,7,350.00),
(3253,20211217,785,526,3,3240.00),
(3254,20211218,937,533,4,324.00),
(3255,20211218,853,6,4,300.00),
(3256,20211218,903,198,2,667.00),
(3257,20211218,824,304,7,1652.00),
(3258,20211218,718,424,3,4295.00),
(3259,20211218,904,29567,6,2185.00),
(3260,20211219,707,347,3,105.00),
(3261,20211219,726,29953,3,1012.00),
(3262,20211219,706,30106,5,7158.00),
(3263,20211219,874,29,1,9.00),
(3264,20211219,946,29545,10,461.00),
(3265,20211219,947,286,11,1007.00),
(3266,20211219,959,29922,10,7424.00),
(3267,20211220,852,683,3,225.00),
(3268,20211220,746,217,7,9447.00),
(3269,20211220,734,475,3,1784.00),
(3270,20211220,969,241,4,9536.00),
(3271,20211220,781,29569,7,16240.00),
(3272,20211220,836,29877,11,6543.00),
(3273,20211220,935,29616,7,283.00),
(3274,20211220,785,328,8,8640.00),
(3275,20211220,952,29571,4,81.00),
(3276,20211221,969,29778,4,9536.00),
(3277,20211221,975,29748,10,17010.00),
(3278,20211221,813,29768,9,1082.00),
(3279,20211221,916,218,4,211.00),
(3280,20211221,740,29918,7,9552.00),
(3281,20211222,988,551,10,5650.00),
(3282,20211222,734,29885,5,2974.00),
(3283,20211222,914,29599,7,190.00),
(3284,20211222,891,493,2,2008.00),
(3285,20211222,797,30046,11,12325.00),
(3286,20211222,725,183,9,3035.00),
(3287,20211222,835,323,8,4759.00),
(3288,20211222,875,29753,3,27.00),
(3289,20211222,766,136,4,3132.00),
(3290,20211222,772,29900,1,3400.00),
(3291,20211222,881,29834,10,540.00),
(3292,20211223,857,30040,8,720.00),
(3293,20211223,764,93,3,2349.00),
(3294,20211223,913,515,6,316.00),
(3295,20211223,907,124,9,959.00),
(3296,20211223,916,30046,2,105.00),
(3297,20211223,751,29994,5,17891.00),
(3298,20211223,726,317,4,1349.00),
(3299,20211224,941,29872,8,648.00),
(3300,20211224,826,19,6,675.00),
(3301,20211224,789,660,10,24434.00),
(3302,20211225,912,620,10,391.00),
(3303,20211226,881,138,2,108.00),
(3304,20211226,717,29535,2,2863.00),
(3305,20211226,718,271,7,10021.00),
(3306,20211226,731,111,5,2974.00),
(3307,20211227,717,29925,10,14315.00),
(3308,20211227,772,29915,10,34000.00),
(3309,20211227,817,671,10,3002.00),
(3310,20211227,849,226,6,360.00),
(3311,20211227,842,492,5,625.00),
(3312,20211227,878,29631,9,198.00),
(3313,20211228,832,30069,6,2093.00),
(3314,20211229,763,508,3,2349.00),
(3315,20211229,938,29532,11,445.00),
(3316,20211229,991,29905,11,5940.00),
(3317,20211229,715,29557,9,450.00),
(3318,20211229,842,487,4,500.00),
(3319,20211229,733,331,4,2379.00),
(3320,20211230,710,425,7,67.00),
(3321,20211230,905,384,10,3641.00),
(3322,20211230,761,311,11,8613.00),
(3323,20211230,981,29792,9,6925.00),
(3324,20211230,957,563,4,9536.00),
(3325,20211230,779,66,2,4640.00),
(3326,20211231,706,29668,7,10021.00),
(3327,20211231,773,160,10,34000.00),
(3328,20211231,717,390,10,14315.00),
(3329,20220101,962,30116,8,5939.00),
(3330,20220101,854,29785,3,225.00),
(3331,20220101,724,20,4,1349.00),
(3332,20220101,944,29709,1,264.00),
(3333,20220101,861,661,1,38.00),
(3334,20220101,725,613,5,1686.00),
(3335,20220102,846,29932,2,28.00),
(3336,20220102,726,394,9,3035.00),
(3337,20220103,885,264,4,4016.00),
(3338,20220103,744,29600,7,9447.00),
(3339,20220103,956,431,8,19073.00),
(3340,20220103,840,488,3,4295.00),
(3341,20220103,888,437,7,7027.00),
(3342,20220103,756,29690,2,2916.00),
(3343,20220103,734,399,6,3569.00),
(3344,20220104,956,30010,8,19073.00),
(3345,20220104,850,29703,6,360.00),
(3346,20220104,793,294,2,4887.00),
(3347,20220104,740,29879,8,10916.00),
(3348,20220104,984,268,8,4520.00),
(3349,20220104,769,29599,5,3915.00),
(3350,20220104,956,272,10,23841.00),
(3351,20220104,851,29611,3,180.00),
(3352,20220104,984,29921,10,5650.00),
(3353,20220104,761,672,7,5481.00),
(3354,20220105,933,474,5,163.00),
(3355,20220106,715,492,2,100.00),
(3356,20220106,911,93,5,136.00),
(3357,20220106,747,30076,2,2699.00),
(3358,20220106,917,29615,1,264.00),
(3359,20220106,868,347,2,140.00),
(3360,20220107,728,30064,10,3372.00),
(3361,20220107,947,29807,1,92.00),
(3362,20220107,823,29528,2,175.00),
(3363,20220107,717,151,5,7158.00),
(3364,20220108,755,362,9,13122.00),
(3365,20220108,759,617,6,4698.00),
(3366,20220108,964,228,7,5196.00),
(3367,20220108,795,30102,8,19547.00),
(3368,20220108,841,559,10,600.00),
(3369,20220109,894,30051,9,1093.00),
(3370,20220109,913,30037,5,263.00),
(3371,20220109,883,29553,4,216.00),
(3372,20220109,844,29494,8,160.00),
(3373,20220109,786,360,10,10800.00),
(3374,20220109,881,383,6,324.00),
(3375,20220109,752,347,7,25048.00),
(3376,20220109,908,167,6,163.00),
(3377,20220109,813,30029,3,361.00),
(3378,20220109,810,304,9,1082.00),
(3379,20220110,963,52,2,1485.00),
(3380,20220110,746,30074,2,2699.00),
(3381,20220110,853,88,7,525.00),
(3382,20220110,754,29680,3,4374.00),
(3383,20220110,915,520,1,39.00),
(3384,20220111,724,64,8,2698.00),
(3385,20220111,903,29618,8,2667.00),
(3386,20220111,784,223,9,20655.00),
(3387,20220111,886,235,6,2001.00),
(3388,20220112,746,29934,10,13496.00),
(3389,20220112,940,29943,6,486.00),
(3390,20220112,741,29857,2,2729.00),
(3391,20220112,814,562,6,2093.00),
(3392,20220112,716,29499,9,450.00),
(3393,20220112,737,29943,6,2023.00),
(3394,20220112,932,29638,8,200.00),
(3395,20220112,806,28,9,921.00),
(3396,20220112,865,29600,9,572.00),
(3397,20220113,787,29991,8,8640.00),
(3398,20220113,891,371,9,9035.00),
(3399,20220113,837,30036,4,5726.00),
(3400,20220114,779,66,9,20880.00),
(3401,20220114,718,563,10,14315.00),
(3402,20220114,759,29521,1,783.00),
(3403,20220114,979,514,5,3712.00),
(3404,20220114,777,671,3,10125.00),
(3405,20220114,849,30105,3,180.00),
(3406,20220114,956,30056,7,16688.00),
(3407,20220114,707,29780,5,175.00),
(3408,20220115,715,30116,2,100.00),
(3409,20220115,835,30034,1,595.00),
(3410,20220115,866,29780,4,254.00),
(3411,20220116,885,29567,1,1004.00),
(3412,20220116,936,208,10,621.00),
(3413,20220116,745,596,2,2699.00),
(3414,20220116,810,30019,5,601.00),
(3415,20220116,788,30112,10,10800.00),
(3416,20220116,806,29867,10,1023.00),
(3417,20220117,853,29593,6,450.00),
(3418,20220117,787,542,3,3240.00),
(3419,20220117,891,29643,6,6023.00),
(3420,20220117,875,29740,4,36.00),
(3421,20220117,839,29615,11,15747.00),
(3422,20220117,905,29608,6,2185.00),
(3423,20220117,978,30113,7,5196.00),
(3424,20220117,807,466,10,1247.00),
(3425,20220117,824,29775,11,2596.00),
(3426,20220117,776,29848,6,20250.00),
(3427,20220117,938,209,7,283.00),
(3428,20220118,762,30034,2,1566.00),
(3429,20220118,872,29720,6,54.00),
(3430,20220118,799,30052,8,8964.00),
(3431,20220118,998,29858,5,2700.00),
(3432,20220119,838,527,1,1432.00),
(3433,20220119,778,30016,5,16875.00),
(3434,20220119,722,30090,3,1012.00),
(3435,20220120,934,353,7,203.00),
